case_type,client_id,client_name,client_email,appointment_datetime,appointment_value,cancellation_time,is_first_offense,subscription_amount,failure_reason,attempt_count,last_charge_date
no_show,NS001,Aarav Sharma,visionarymedia28@gmail.com,2026-09-01T10:00:00+05:30,1200,2026-09-01T08:45:00+05:30,TRUE,,,,
no_show,NS002,Diya Patel,diya.patel@example.com,2026-09-01T11:30:00+05:30,850,2026-09-01T10:05:00+05:30,FALSE,,,,
no_show,NS003,Rohan Mehta,professorlangdon951@gmail.com,2026-09-02T09:00:00+05:30,1500,2026-09-02T07:30:00+05:30,FALSE,,,,
no_show,NS004,Ananya Iyer,visionarymedia28@gmail.com,2026-09-02T14:00:00+05:30,2000,2026-09-02T12:30:00+05:30,TRUE,,,,
no_show,NS005,Vikram Singh,animalfpvcam@gmail.com,2026-09-03T16:30:00+05:30,950,2026-09-03T15:10:00+05:30,FALSE,,,,
no_show,NS006,Meera Nair,professorlangdon951@gmail.com,2026-09-04T08:30:00+05:30,1100,2026-09-04T07:00:00+05:30,FALSE,,,,
no_show,NS007,Kabir Khan,visionarymedia28@gmail.com,2026-09-04T18:00:00+05:30,1750,2026-09-04T16:30:00+05:30,TRUE,,,,
no_show,NS008,Ishita Rao,priyanshmathur926@gmail.com,2026-09-05T12:00:00+05:30,1300,2026-09-05T10:30:00+05:30,FALSE,,,,
no_show,NS009,Aditya Joshi,aditya.joshi@example.com,2026-09-06T15:00:00+05:30,700,2026-09-06T13:30:00+05:30,FALSE,,,,
no_show,NS010,Sana Kapoor,animalfpvcam@gmail.com,2026-09-07T17:30:00+05:30,2200,2026-09-07T16:00:00+05:30,TRUE,,,,
no_show,NS011,Neel Verma,neel.verma@example.com,2026-09-10T10:00:00+05:30,1000,2026-09-08T09:00:00+05:30,FALSE,,,,
no_show,NS012,Tara Desai,professorlangdon951@gmail.com,2026-09-10T13:00:00+05:30,1250,2026-09-08T15:00:00+05:30,FALSE,,,,
no_show,NS013,Arjun Kulkarni,arjun.kulkarni@example.com,2026-09-11T09:30:00+05:30,1800,2026-09-09T11:00:00+05:30,TRUE,,,,
no_show,NS014,Kiara Bansal,kiara.bansal@example.com,2026-09-11T16:00:00+05:30,900,2026-09-10T10:00:00+05:30,FALSE,,,,
no_show,NS015,Manav Shah,professorlangdon951@gmail.com,2026-09-12T11:00:00+05:30,1450,2026-09-10T12:30:00+05:30,FALSE,,,,
no_show,NS016,Myra Thomas,myra.thomas@example.com,2026-09-13T14:30:00+05:30,1600,2026-09-11T09:30:00+05:30,FALSE,,,,
no_show,NS017,Yash Malhotra,yash.malhotra@example.com,2026-09-14T18:30:00+05:30,2100,2026-09-12T08:00:00+05:30,FALSE,,,,
no_show,NS018,Avni Gupta,avni.gupta@example.com,2026-09-15T08:00:00+05:30,750,2026-09-13T09:00:00+05:30,FALSE,,,,
no_show,NS019,Samir Bose,animalfpvcam@gmail.com,2026-09-16T15:30:00+05:30,1350,2026-09-14T14:00:00+05:30,FALSE,,,,
no_show,NS020,Anika Sen,anika.sen@example.com,2026-09-17T10:30:00+05:30,1900,2026-09-15T10:00:00+05:30,FALSE,,,,
no_show,NS021,Dev Arora,dev.arora@example.com,2026-09-18T09:00:00+05:30,1050,2026-09-18T07:40:00+05:30,TRUE,,,,
no_show,NS022,Nisha Menon,animalfpvcam@gmail.com,2026-09-18T13:30:00+05:30,1550,2026-09-18T12:00:00+05:30,FALSE,,,,
no_show,NS023,Rahul Sethi,rahul.sethi@example.com,2026-09-19T11:00:00+05:30,1250,2026-09-17T10:00:00+05:30,FALSE,,,,
no_show,NS024,Priya Dutta,priya.dutta@example.com,2026-09-20T15:00:00+05:30,1700,2026-09-18T12:00:00+05:30,FALSE,,,,
no_show,NS025,Kunal Jain,professorlangdon951@gmail.com,2026-09-21T17:00:00+05:30,800,2026-09-21T15:45:00+05:30,FALSE,,,,
subscription,SUB001,Leena Krishnan,leena.priyanshmathur926@gmail.com,,,,,1000,card_declined,0,20-08-26
subscription,SUB002,Diya Patel,diya.patel@example.com,,,,,799,card_declined,1,19-08-26
subscription,SUB003,Rohan Mehta,professorlangdon951@gmail.com,,,,,999,card_declined,2,18-08-26
subscription,SUB004,Ananya Iyer,priyanshmathur926@gmail.com,,,,,1299,card_declined,3,17-08-26
subscription,SUB005,Vikram Singh,animalfpvcam@gmail.com,,,,,599,card_declined,1,16-08-26
subscription,SUB006,Meera Nair,meera.nair@example.com,,,,,899,card_declined,2,15-08-26
subscription,SUB007,Kabir Khan,kabir.khan@example.com,,,,,1499,insufficient_funds,0,20-08-26
subscription,SUB008,Ishita Rao,priyanshmathur926@gmail.com,,,,,699,insufficient_funds,1,19-08-26
subscription,SUB009,Aditya Joshi,priyanshmathur926@gmail.com,,,,,199,insufficient_funds,2,18-08-26
subscription,SUB010,Sana Kapoor,sana.kapoor@example.com,,,,,1599,insufficient_funds,3,17-08-26
subscription,SUB011,Neel Verma,animalfpvcam@gmail.com,,,,,449,insufficient_funds,0,16-08-26
subscription,SUB012,Tara Desai,tara.desai@example.com,,,,,899,insufficient_funds,2,15-08-26
subscription,SUB013,Arjun Kulkarni,professorlangdon951@gmail.com,,,,,1199,card_expired,0,20-08-26
subscription,SUB014,Kiara Bansal,kiara.bansal@example.com,,,,,549,card_expired,1,19-08-26
